"","kingdom","phylum","class","order","family","genus","species"
"755","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Scolecobasidium","unidentified"
"756","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae","Scoliciosporum","unidentified"
"757","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scopulariopsis","Scopulariopsis brevicaulis"
"758","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scopulariopsis","Scopulariopsis candida"
"759","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Scutellinia","unidentified"
"760","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Scutellinia","Scutellinia torrentis"
"764","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","unidentified"
"765","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Seifertia","Seifertia azaleae"
"766","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Tilachlidiaceae","Septofusidium","Septofusidium herbarum"
"767","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Septoria","Septoria glycines"
"768","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Septoria","Septoria pistaciarum"
"769","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita","Serendipita indica"
"770","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","unidentified","unidentified"
"771","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita","Serendipita vermifera"
"772","Fungi","Basidiomycota","Agaricomycetes","Boletales","Serpulaceae","Serpula","Serpula himantioides"
"773","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophaeosphaeria","unidentified"
"775","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophoma","Setophoma terrestris"
"776","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Sistotrema","unidentified"
"777","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","unidentified","unidentified","unidentified"
"778","Fungi","Zoopagomycota","Harpellomycetes","Harpellales","Legeriomycetaceae","Smittium","Smittium morbosum"
"779","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Sodiomyces","Sodiomyces alcalophilus"
"780","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma aeria"
"781","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma phenolica"
"782","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma terrea"
