"","kingdom","phylum","class","order","family","genus","species"
"109","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Boeremia","Boeremia exigua"
"110","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeria","unidentified"
"111","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","Botrytis cinerea"
"112","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Bradymyces","Bradymyces alpinus"
"113","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Brettanomyces","Brettanomyces bruxellensis"
"114","Fungi","Ascomycota","Sordariomycetes","Microascales","Ceratocystidaceae","Bretziella","Bretziella fagacearum"
"115","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Bullera","Bullera coprosmae"
"116","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Bullera","Bullera unica"
"117","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Thermoascaceae","Byssochlamys","Byssochlamys fulva"
"118","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Thermoascaceae","Byssochlamys","Byssochlamys nivea"
"119","Fungi","Ascomycota","Leotiomycetes","Helotiales","unidentified","unidentified","unidentified"
"123","Fungi","Mucoromycota","unidentified","unidentified","unidentified","unidentified","unidentified"
"124","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Calloria","unidentified"
"125","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Calvatia","Calvatia fragilis"
"126","Fungi","Ascomycota","Leotiomycetes","Helotiales","Pezizellaceae","Calycina","Calycina claroflava"
"127","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Calyptella","Calyptella capula"
"128","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Ogataea","[Candida] boidinii"
"129","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","unidentified","unidentified"
"130","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Clavispora","[Candida] intermedia"
"131","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Barnettozyma","[Candida] norvegica"
"132","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Candida","Candida parapsilosis"
"133","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Kurtzmaniella","[Candida] quercitrusa"
"134","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Kurtzmaniella","[Candida] railenensis"
"135","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","unidentified","unidentified","unidentified"
"137","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Candida","Candida tropicalis"
"138","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Kurtzmaniella","[Candida] zeylanoides"
"139","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Capnobotryella","unidentified"
"140","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae","Capnodium","unidentified"
"141","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","unidentified"
"142","Fungi","Blastocladiomycota","Blastocladiomycetes","Blastocladiales","Catenariaceae","Catenaria","Catenaria anguillulae"
"143","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascodesmidaceae","Cephaliophora","unidentified"
"144","Fungi","Ascomycota","Sordariomycetes","Microascales","unidentified","unidentified","unidentified"
"145","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium","unidentified"
"146","Fungi","Ascomycota","Sordariomycetes","Microascales","Ceratocystidaceae","Ceratocystis","unidentified"
"147","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cercophora","Cercophora samala"
"148","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cercophora","unidentified"
"149","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cercophora","Cercophora sulphurella"
"150","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Cercospora","unidentified"
"151","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomidium","Chaetomidium gallecicum"
"152","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Trichocladium","Trichocladium acropullum"
"153","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium caprinum"
"154","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium globosum"
"155","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","Humicola homopilata"
"156","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Parachaetomium","Parachaetomium iranianum"
"157","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium longiciliata"
"158","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium madrasense"
"159","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium megalocarpum"
"160","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium perlucidum"
"161","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","unidentified"
"163","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Parachaetomium","Parachaetomium truncatulum"
"164","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Chaetosphaeronema","unidentified"
"166","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria malorum"
"167","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chloridium","unidentified"
"168","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Chordomyces","Chordomyces antarcticum"
"172","Fungi","Ascomycota","Leotiomycetes","unidentified","unidentified","unidentified","unidentified"
"174","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","unidentified"
"175","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Ciboria","unidentified"
"176","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Lichtheimiaceae","Circinella","Circinella chinensis"
"177","Fungi","Ascomycota","Sordariomycetes","Microascales","Halosphaeriaceae","Cirrenalia","Cirrenalia macrocephala"
"178","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Cistella","unidentified"
"179","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","unidentified"
"181","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Cladorrhinum","Cladorrhinum flexuosum"
"182","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Cladorrhinum","Cladorrhinum foecundissimum"
"183","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Cladorrhinum","unidentified"
"184","Fungi","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","unidentified"
"192","Fungi","Ascomycota","Leotiomycetes","Helotiales","Rutstroemiaceae","Clarireedia","Clarireedia bennettii"
"193","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus claroideum"
"194","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","unidentified"
"195","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus walkeri"
"196","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavaria","Clavaria californica"
"197","Fungi","Ascomycota","Sordariomycetes","Microascales","Halosphaeriaceae","Clavatospora","unidentified"
"198","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Clavispora","unidentified"
"199","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus","unidentified"
"200","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lindgomycetaceae","Clohesyomyces","unidentified"
"201","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys","Clonostachys rosea"
"202","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Codinaeopsis","unidentified"
"203","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Collariella","Collariella bostrychodes"
"204","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum falcatum"
"205","Fungi","Ascomycota","Sordariomycetes","Xylariales","Coniocessiaceae","Coniocessia","unidentified"
"206","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","Coniochaeta cateniformis"
"207","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","Coniochaeta hoffmannii"
"208","Fungi","Basidiomycota","Agaricomycetes","Boletales","Coniophoraceae","Coniophora","Coniophora olivacea"
"209","Fungi","Ascomycota","Dothideomycetes","unidentified","unidentified","unidentified","unidentified"
"211","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Coniothyriaceae","Coniothyrium","unidentified"
"212","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","unidentified"
"213","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe ammophila"
"214","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe apala"
"215","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe dunensis"
"216","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe echinata"
"217","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe herbarum"
"218","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe siennophylla"
"219","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Constantinomyces","Constantinomyces oldenburgensis"
"220","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","unidentified"
"221","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","Coprinellus curtus"
"222","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","Coprinellus micaceus"
"223","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","Coprinellus plagioporus"
"224","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","Coprinellus sassii"
"226","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","Coprinellus xanthothrix"
"227","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","unidentified"
"228","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","Coprinopsis clastophylla"
"229","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","Coprinopsis laanii"
"230","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","Coprinopsis nivea"
"231","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","Coprinopsis semitalis"
"233","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","Coprinopsis urticicola"
"234","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps","Cordyceps cateniannulata"
"235","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Coriolopsis","Coriolopsis gallica"
"236","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","unidentified"
"237","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Corynesporascaceae","Corynespora","unidentified"
"238","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Crocicreas","unidentified"
"239","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus amylolentus"
"241","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Cryptomarasmius","Cryptomarasmius exustoides"
"242","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Ctenomyces","Ctenomyces serratus"
"243","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Cunninghamella","Cunninghamella echinulata"
"244","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Cunninghamella","Cunninghamella elegans"
"245","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia buchloes"
"246","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia geniculata"
"247","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia inaequalis"
"248","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia pallescens"
"249","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","unidentified"
"250","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon","unidentified"
"253","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera rhodanensis"
"254","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera veronae"
"255","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cylindrocarpon","unidentified"
"256","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","unidentified"
"257","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora aestiva"
"258","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Cystobasidium","Cystobasidium slooffiae"
"259","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Cystofilobasidiaceae","Cystofilobasidium","Cystofilobasidium infirmominiatum"
"260","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Cystofilobasidiaceae","Cystofilobasidium","Cystofilobasidium macerans"
"262","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia","unidentified"
"263","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Dactylella","unidentified"
"264","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Dactylonectria","Dactylonectria alcacerensis"
"265","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Dactylonectria","Dactylonectria estremocensis"
"266","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Dactylonectria","Dactylonectria macrodidyma"
"267","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Dactylonectria","Dactylonectria pauciseptata"
"268","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Debaryomyces","Debaryomyces hansenii"
"269","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Pannariaceae","Degelia","Degelia plumbea"
"270","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Torulaceae","Dendryphion","unidentified"
"271","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Devriesia","unidentified"
"272","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe columnaris"
"273","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe cotoneastri"
"276","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Dichotomopilus","Dichotomopilus erectus"
"277","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella","Didymella exigua"
"278","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella","unidentified"
"279","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Didymosphaeria","unidentified"
"280","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Dinemasporium","unidentified"
"281","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia","Dioszegia fristingensis"
"282","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia","Dioszegia hungarica"
"283","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia","unidentified"
"284","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia","Dioszegia zsoltii"
"285","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Discohainesia","Discohainesia oenotherae"
"286","Fungi","Mucoromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora","unidentified"
"287","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Drechslera","unidentified"
"288","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Effuseotrichosporon","unidentified"
"289","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Elsinoaceae","Elsinoe","Elsinoe ampelina"
"290","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Elsinoaceae","Elsinoe","Elsinoe terminaliae"
"291","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Emmonsia","Emmonsia crescens"
"292","Fungi","Ascomycota","Dothideomycetes","Myriangiales","unidentified","unidentified","unidentified"
"293","Fungi","Ascomycota","Leotiomycetes","Helotiales","Pleuroascaceae","Entimomentora","Entimomentora hyalina"
"295","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma platyphylloides"
"296","Fungi","Mucoromycota","Glomeromycetes","Diversisporales","unidentified","unidentified","unidentified"
"297","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","Epicoccum nigrum"
"298","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","Epicoccum plurivorum"
"299","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Erysiphe","Erysiphe betae"
"300","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Erysiphe","Erysiphe quercicola"
"303","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala brunnea"
"304","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala capensis"
"305","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala equina"
"306","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala exophialae"
"307","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala opportunistica"
"308","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala pisciphila"
"309","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala salmonis"
"310","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","unidentified"
"311","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala xenobiotica"
"312","Fungi","Ascomycota","Sordariomycetes","Microascales","Chadefaudiellaceae","Faurelina","Faurelina indica"
"313","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Sirobasidiaceae","Fibulobasidium","unidentified"
"314","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium chernovii"
"315","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium floriforme"
"316","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium magnum"
"317","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium oeirense"
"318","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium wieringae"
"319","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Fomitiporia","Fomitiporia mediterranea"
"320","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Friedmanniomyces","unidentified"
"321","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis mosseae"
"322","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Furcasterigmium","Furcasterigmium furcatum"
"324","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium acuminatum"
"325","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium beomiforme"
"326","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium delphinoides"
"327","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium equiseti"
"328","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium incarnatum"
"329","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium longipes"
"330","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","unidentified"
"331","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium proliferatum"
"332","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium pseudensiforme"
"333","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium solani"
"335","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium tricinctum"
"336","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium virguliforme"
"337","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","Fusicolla septimanifiniscientiae"
"338","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusidium","Fusidium griseum"
"339","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","Gaeumannomyces","Gaeumannomyces wongoonoo"
"340","Fungi","Ascomycota","Eurotiomycetes","Sclerococcales","unidentified","unidentified","unidentified"
"341","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Ganoderma","Ganoderma applanatum"
"342","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Ganoderma","Ganoderma resinaceum"
"343","Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Geastrum","Geastrum floriforme"
"344","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","unidentified"
"346","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Geopyxis","unidentified"
"347","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum","Geotrichum candidum"
"348","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum","Geotrichum klebahnii"
"349","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum","unidentified"
"350","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis","Gibellulopsis nigrescens"
"351","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis","Gibellulopsis serrae"
"352","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Glarea","Glarea lozoyensis"
"353","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Glarea","unidentified"
"354","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unidentified"
"355","Fungi","Ascomycota","Leotiomycetes","Phacidiales","Phacidiaceae","Gremmenia","Gremmenia infestans"
"356","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Gymnascella","Gymnascella aurantiaca"
"357","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Gymnoascus","Gymnoascus reesii"
"359","Fungi","Ascomycota","Leotiomycetes","Helotiales","Discinellaceae","Gyoerffyella","unidentified"
"362","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","Hannaella luteola"
"363","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","Hannaella oryzae"
"364","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","Hannaella sinensis"
"365","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","unidentified"
"366","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycodaceae","Hanseniaspora","unidentified"
"367","Fungi","Ascomycota","Sordariomycetes","Melanosporales","Ceratostomataceae","Harzia","Harzia acremonioides"
"368","Fungi","Ascomycota","Leotiomycetes","Helotiales","Ploettnerulaceae","Oculimacula","unidentified"
"369","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Helicoma","unidentified"
"370","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Helminthosporium","unidentified"
"371","Fungi","Ascomycota","Pezizomycetes","Pezizales","Helvellaceae","Helvella","Helvella lacunosa"
"372","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Heteroconium","unidentified"
"373","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Hirsutella","Hirsutella aphidis"
"374","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Hirsutella","Hirsutella minnesotensis"
"375","Fungi","Ascomycota","Dothideomycetes","Capnodiales","unidentified","unidentified","unidentified"
"376","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pleurotaceae","Hohenbuehelia","unidentified"
"377","Fungi","Basidiomycota","Tremellomycetes","Holtermanniales","unidentified","unidentified","unidentified"
"379","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema","unidentified"
"380","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","Humicola nigrescens"
"381","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","Humicola olivacea"
"382","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","unidentified"
"383","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Hyalorbilia","Hyalorbilia oviparasitica"
"384","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","unidentified"
